City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
584,Hobyo,SO,75.78,overcast clouds,5.3505,48.5268,Halane Hotel and Restaurent
587,Sungaipenuh,ID,72.36,overcast clouds,-2.0833,101.3833,penginapan citra alam
588,Barra Do Garcas,BR,70.38,overcast clouds,-15.89,-52.2567,Pousada Tropical
590,Vadlapudi,IN,73.62,few clouds,14.3167,79.8,
597,Qandala,SO,70.59,scattered clouds,11.472,49.8728,
598,Denpasar,ID,82.06,few clouds,-8.65,115.2167,ASTON Denpasar Hotel & Convention Center
604,Ambon,ID,84.34,scattered clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
611,Kandrian,PG,84.69,light rain,-6.2167,149.55,Kandrian Station
613,Rock Sound,BS,75.36,broken clouds,24.9,-76.2,Pink Corral Bay Property
618,Sao Jose Da Coroa Grande,BR,80.06,broken clouds,-8.8978,-35.1478,Crôa Mares Hotel
627,San Luis,AR,72.97,scattered clouds,-33.295,-66.3356,Huarpes Hotel
632,Murray Bridge,AU,78.69,few clouds,-35.1167,139.2667,Balcony On Sixth Lodge
634,Broken Hill,AU,78.51,clear sky,-31.95,141.4333,Royal Exchange Hotel
637,Paracuru,BR,82.42,few clouds,-3.41,-39.0306,Hotel Vento Brasil
641,Rio Hato,PA,80.78,few clouds,8.3833,-80.1667,Posada Acuarela Farallón (Panamá)
643,Maragogi,BR,80.42,broken clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
644,Rio Cuarto,AR,70.66,clear sky,-33.1307,-64.3499,Grand Hotel Río Cuarto
651,Wahiawa,US,77.32,overcast clouds,21.5028,-158.0236,Aloha Wahiawa
653,Thung Song,TH,87.19,overcast clouds,8.1645,99.6804,Jasmine Resort And Spa
663,Moron,AR,73.15,clear sky,-34.6534,-58.6198,Hotel Morón
665,El Seibo,DO,71.13,clear sky,18.7641,-69.0375,Defensa Civil del Seibo
666,Port Hueneme,US,79.72,clear sky,34.1478,-119.1951,Hampton Inn Channel Islands Harbor
667,Port Hedland,AU,89.65,clear sky,-20.3167,118.5667,"The Esplanade Hotel (Accommodation section closed for refurbishment - Bar, Restaurant & Functions remain open)"
670,Burnie,AU,72.95,clear sky,-41.0667,145.9167,Beachfront Voyager Motor Inn
673,Eyl,SO,70.45,few clouds,7.9803,49.8164,Amiin Hotel
674,Miri,MY,84.34,scattered clouds,4.4148,114.0089,"Mega Hotel, Miri"
680,Muli,MV,81.07,broken clouds,2.9167,73.5667,Medhufushi Island Resort
684,Porto Novo,BJ,82.22,clear sky,6.4965,2.6036,Tour Eiffel Hotel Benin
686,San Pedro,PH,85.35,scattered clouds,14.35,121.0167,Villa Veronica Resort Private Pool
687,Cananeia,BR,72.43,broken clouds,-25.0147,-47.9267,Pousada Ancoradouro
688,Gorontalo,ID,89.92,overcast clouds,0.5412,123.0595,Maqna Hotel by Prasanthi
