City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
184,Vestmannaeyjar,IS,63.4427,-20.2734,25.41,71,95,17.47,overcast clouds
185,Lakatoro,VU,-16.0999,167.4164,82.22,81,100,23.4,overcast clouds
186,Poum,NC,-20.2333,164.0167,81.21,86,95,29.51,overcast clouds
187,Aleksandrovskiy Zavod,RU,50.9237,117.9374,-4.41,95,97,3.58,overcast clouds
188,Tautira,PF,-17.7333,-149.15,84.22,78,30,15.59,light rain
189,Iracoubo,GF,5.4802,-53.2011,76.53,85,20,8.14,few clouds
190,Jieshi,CN,22.8134,115.8257,59.95,79,81,10.22,broken clouds
191,Bonham,US,33.5773,-96.1783,58.41,33,0,4.61,clear sky
192,Necochea,AR,-38.5473,-58.7368,68.04,65,0,10.69,clear sky
193,Hilo,US,19.7297,-155.09,76.73,72,20,6.91,few clouds
194,Lagoa,PT,39.05,-27.9833,58.59,68,1,15.59,clear sky
195,North Bend,US,43.4065,-124.2243,58.91,93,0,12.66,clear sky
196,Kavieng,PG,-2.5744,150.7967,84.38,71,30,5.53,light rain
197,Alvorada,BR,-12.48,-49.1247,72.63,95,100,0.87,overcast clouds
198,Sunrise,US,26.1577,-80.2861,64.42,92,40,5.75,heavy intensity rain
199,Zhigansk,RU,66.7697,123.3711,-32.46,97,84,8.86,broken clouds
200,Santa Isabel Do Rio Negro,BR,-0.4139,-65.0192,72.88,98,98,1.01,overcast clouds
201,Barrow,US,71.2906,-156.7887,-20.18,69,100,10.36,light snow
202,Abha,SA,18.2164,42.5053,55.22,47,0,6.91,clear sky
203,Birjand,IR,32.8663,59.2211,27.07,59,0,4.61,clear sky
204,Ostrovnoy,RU,68.0531,39.5131,23.5,87,100,21.88,overcast clouds
205,Virginia Beach,US,36.8529,-75.978,44.02,72,75,3.44,broken clouds
206,Leningradskiy,RU,69.3833,178.4167,-28.79,97,83,6.26,broken clouds
207,Yulara,AU,-25.2406,130.9889,91.24,25,40,13.8,scattered clouds
208,Artyom,AZ,40.4723,50.333,44.74,86,2,26.11,clear sky
209,Shimoda,JP,34.6667,138.95,41.36,96,100,22.01,light rain
210,Ejura,GH,7.3856,-1.3562,74.53,60,4,5.08,clear sky
211,Marzuq,YE,14.4,46.4667,56.97,36,6,2.13,clear sky
212,Hazorasp,UZ,41.3194,61.0742,30.04,64,10,10.8,clear sky
213,Zyryanka,RU,65.75,150.85,-27.2,89,68,4.59,broken clouds
214,Udachnyy,RU,66.4167,112.4,-2.56,83,99,3.04,overcast clouds
215,El Cobre,CU,20.0489,-75.9469,72.84,88,20,1.14,few clouds
216,Ardahan,TR,41.1087,42.7022,22.89,97,100,1.1,light snow
217,Gibsons,CA,49.3997,-123.5027,48.27,90,100,1.59,overcast clouds
218,Batagay,RU,67.6333,134.6333,-32.4,94,66,1.95,broken clouds
219,Killybegs,IE,54.6333,-8.45,35.46,65,100,28.03,moderate rain
220,Paraiso,CR,9.8383,-83.8656,67.06,90,76,4.21,broken clouds
221,Husavik,IS,66.0449,-17.3389,10.31,72,71,7.2,broken clouds
222,Mahebourg,MU,-20.4081,57.7,74.25,94,40,2.3,scattered clouds
223,Kavaratti,IN,10.5669,72.642,79.93,72,100,15.66,overcast clouds
224,Simao,CN,22.7886,100.9748,59.05,42,3,2.42,clear sky
225,Talnakh,RU,69.4865,88.3972,-5.8,98,100,10.58,overcast clouds
226,Nadym,RU,65.5333,72.5167,-4.05,93,26,13.8,scattered clouds
227,Lasa,IT,46.6166,10.7002,51.26,34,29,3.33,scattered clouds
228,Panjab,AF,34.388,67.0233,-6.83,72,10,4.76,clear sky
229,Beaver Dam,US,43.4578,-88.8373,34.9,91,100,3.44,overcast clouds
230,Beibei,CN,29.8256,106.4339,50.23,67,99,1.83,overcast clouds
