City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
242,San Pedro De Macoris,DO,2022-01-31 19:55:10,18.4616,-69.2972,86.61,54,0,8.72
243,Houston,US,2022-01-31 19:51:06,29.7633,-95.3633,61.32,87,75,5.99
244,Popondetta,PG,2022-01-31 19:55:10,-8.7537,148.2534,73.42,93,100,2.48
245,Benguela,AO,2022-01-31 19:55:10,-12.5763,13.4055,76.51,75,100,3.38
246,Motta Di Livenza,IT,2022-01-31 19:55:11,45.7781,12.6028,41.41,90,47,4.29
247,Namibe,AO,2022-01-31 19:55:11,-15.1961,12.1522,72.73,74,95,7.9
248,Prudentopolis,BR,2022-01-31 19:55:11,-25.2131,-50.9778,82.31,45,64,2.66
249,Gurupi,BR,2022-01-31 19:55:12,-11.7292,-49.0686,77.92,86,100,0.81
250,Kavaratti,IN,2022-01-31 19:55:12,10.5669,72.642,80.69,71,3,10.07
251,Krasnoselkup,RU,2022-01-31 19:55:12,65.7,82.4667,10.18,95,100,9.48
252,Serenje,ZM,2022-01-31 19:55:13,-13.2325,30.2352,60.53,97,16,2.06
253,Ecija,ES,2022-01-31 19:55:13,37.5422,-5.0826,59.86,50,0,3.31
254,Eydhafushi,MV,2022-01-31 19:55:13,5.1033,73.0708,82.38,78,39,16.26
255,Mogadishu,SO,2022-01-31 19:55:14,2.0371,45.3438,77.65,85,38,19.44
256,Tual,ID,2022-01-31 19:55:14,-5.6667,132.75,83.86,76,100,21.54
257,Aberdeen,GB,2022-01-31 19:55:14,57.1437,-2.0981,42.49,75,100,9.22
258,Isangel,VU,2022-01-31 19:55:15,-19.55,169.2667,77.52,92,100,13.49
259,Dangtu,CN,2022-01-31 19:55:15,31.5723,118.4928,35.65,77,100,6.29
260,Moerai,PF,2022-01-31 19:55:16,-22.4333,-151.3333,79.86,77,20,19.64
261,Pareora,NZ,2022-01-31 19:55:16,-44.4871,171.2132,63.18,97,100,6.11
262,Ahuimanu,US,2022-01-31 19:55:16,21.4447,-157.8378,77.77,71,75,4.61
263,Obidos,BR,2022-01-31 19:50:23,-1.9175,-55.5181,81.59,74,75,5.06
264,Henties Bay,NA,2022-01-31 19:55:17,-22.116,14.2845,68.86,81,100,2.44
265,Hofn,IS,2022-01-31 19:55:17,64.2539,-15.2082,26.62,93,100,12.66
266,Dali,CN,2022-01-31 19:55:17,25.7,100.1833,41.23,87,59,3.76
267,Welkom,ZA,2022-01-31 19:55:18,-27.9864,26.7066,70.36,75,98,9.35
268,Iquique,CL,2022-01-31 19:55:18,-20.2208,-70.1431,75.24,66,0,5.55
269,Olinda,BR,2022-01-31 19:56:19,-8.0089,-34.8553,83.93,70,20,6.91
270,Hervey Bay,AU,2022-01-31 19:56:19,-25.2986,152.8535,76.03,83,62,7.18
271,Northam,GB,2022-01-31 19:56:19,51.0333,-4.2167,48.61,87,62,17.11
272,Komsomolskiy,UZ,2022-01-31 19:56:20,40.4272,71.7189,29.62,86,100,4.61
273,Magadan,RU,2022-01-31 19:56:20,59.5667,150.8,1.62,76,80,13.02
274,Quatre Cocos,MU,2022-01-31 19:56:20,-20.2078,57.7625,80.71,81,37,24.34
275,Van,TR,2022-01-31 19:56:21,38.4924,43.3831,20.23,80,100,6.64
276,Sahibganj,IN,2022-01-31 19:56:21,25.25,87.65,59.07,60,0,2.26
277,Kudahuvadhoo,MV,2022-01-31 19:56:21,2.6708,72.8944,82.63,75,46,10.18
278,Emirdag,TR,2022-01-31 19:56:22,39.0197,31.15,20.88,88,26,5.3
279,Marang,MY,2022-01-31 19:56:22,5.2056,103.2059,78.71,85,49,2.33
280,Bethel,US,2022-01-31 19:56:22,41.3712,-73.414,31.64,42,100,1.01
281,Thompson,CA,2022-01-31 19:53:17,55.7435,-97.8558,1.56,78,100,6.91
282,Lamu,KE,2022-01-31 19:56:23,-2.2717,40.902,76.75,86,76,9.37
283,Nuuk,GL,2022-01-31 19:56:23,64.1835,-51.7216,18.88,67,100,13.0
284,Mayskiy,RU,2022-01-31 19:56:23,47.6931,40.1025,35.01,89,100,13.65
285,Rawson,AR,2022-01-31 19:56:24,-43.3002,-65.1023,75.04,24,87,8.23
286,Correia Pinto,BR,2022-01-31 19:56:24,-27.5847,-50.3611,81.55,40,82,5.59
287,Biak,ID,2022-01-31 19:56:24,-0.9131,122.8766,75.94,82,65,4.94
288,Mayahi,NE,2022-01-31 19:56:25,13.9553,7.6712,63.39,11,5,14.16
289,Firozpur,IN,2022-01-31 19:56:25,30.9167,74.6,53.82,73,0,4.7
290,Lhokseumawe,ID,2022-01-31 19:54:16,5.1801,97.1507,76.48,84,100,3.49
291,Lompoc,US,2022-01-31 19:55:11,34.6391,-120.4579,69.19,68,0,3.44
292,Kodiak,US,2022-01-31 19:56:26,57.79,-152.4072,28.44,84,67,0.65
293,Methoni,GR,2022-01-31 19:56:26,36.8197,21.7049,51.22,67,94,7.16
